time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352864.50547075,0.00498456,0.00013363,0.00000254,12636.00000000,0.00188200,0.000000,0.000000
1671352864.60631418,0.00497689,0.00017493,0.00000317,12645.00000000,0.00231715,0.000000,0.000000
1671352864.70717072,0.00496809,0.00014163,0.00000263,12657.00000000,0.00190630,0.000000,0.000000
1671352864.80802727,0.00495975,0.00014016,0.00000269,12669.00000000,0.00204729,0.000000,0.000000
1671352864.90890861,0.00495097,0.00013155,0.00000270,12679.00000000,0.00188069,0.000000,0.000000
1671352865.00976229,0.00494348,0.00016992,0.00000337,12686.00000000,0.00231322,0.000000,0.000000
1671352865.11061811,0.00493610,0.00016744,0.00000326,12693.00000000,0.00233706,0.000000,0.000000
1671352865.21148682,0.00492976,0.00016270,0.00000405,12710.00000000,0.00269278,0.000000,0.000000
1671352865.31233740,0.00492294,0.00022034,0.00000328,12720.00000000,0.00250746,0.000000,0.000000
1671352865.41322541,0.00491496,0.00014439,0.00000306,12721.00000000,0.00208448,0.000000,0.000000
1671352865.51407862,0.00490770,0.00017649,0.00000330,12719.00000000,0.00232134,0.000000,0.000000
1671352865.61494493,0.00490023,0.00016462,0.00000283,12719.00000000,0.00223308,0.000000,0.000000
1671352865.71584606,0.00489353,0.00014459,0.00000340,12732.00000000,0.00249673,0.000000,0.000000
1671352865.81666780,0.00488633,0.00011093,0.00000309,12504.00000000,0.00229960,0.000000,0.000000
1671352865.91751671,0.00487881,0.00013859,0.00000292,12514.00000000,0.00217329,0.000000,0.000000
1671352866.01834154,0.00487095,0.00013339,0.00000253,12531.00000000,0.00203144,0.000000,0.000000
1671352866.11921191,0.00486295,0.00013703,0.00000250,12539.00000000,0.00196819,0.000000,0.000000
1671352866.22007489,0.00485520,0.00012918,0.00000263,12545.00000000,0.00204263,0.000000,0.000000
1671352866.32093382,0.00484892,0.00013423,0.00000350,12561.00000000,0.00256248,0.000000,0.000000
1671352866.42180538,0.00484092,0.00013586,0.00000255,12570.00000000,0.00191923,0.000000,0.000000
1671352866.52264071,0.00483401,0.00013553,0.00000329,12577.00000000,0.00230791,0.000000,0.000000
1671352866.62351942,0.00482700,0.00014894,0.00000307,12578.00000000,0.00225338,0.000000,0.000000
1671352866.72434235,0.00481944,0.00014325,0.00000263,12587.00000000,0.00203667,0.000000,0.000000
1671352866.82520795,0.00481277,0.00015272,0.00000320,12592.00000000,0.00235205,0.000000,0.000000
1671352866.92606282,0.00482586,0.00015722,0.00000316,12601.00000000,0.00966950,0.000000,0.000000
1671352867.02692008,0.00481920,0.00012464,0.00000314,12603.00000000,0.00234828,0.000000,0.000000
1671352867.12780166,0.00481160,0.00012576,0.00000281,12614.00000000,0.00198262,0.000000,0.000000
1671352867.22870088,0.00480397,0.00014056,0.00000262,12627.00000000,0.00195796,0.000000,0.000000
1671352867.32953024,0.00479662,0.00012730,0.00000274,12639.00000000,0.00204832,0.000000,0.000000
1671352867.43039942,0.00479058,0.00016815,0.00000319,12651.00000000,0.00252604,0.000000,0.000000
1671352867.53129005,0.00478391,0.00017937,0.00000271,12659.00000000,0.00227718,0.000000,0.000000
1671352867.63214684,0.00477879,0.00017304,0.00000358,12656.00000000,0.00284576,0.000000,0.000000
1671352867.73297071,0.00477176,0.00015107,0.00000273,12659.00000000,0.00211804,0.000000,0.000000
1671352867.83382607,0.00476502,0.00017453,0.00000261,12663.00000000,0.00221047,0.000000,0.000000
1671352867.93472695,0.00475854,0.00015679,0.00000272,12677.00000000,0.00229458,0.000000,0.000000
1671352868.03551102,0.00475263,0.00021244,0.00000312,12688.00000000,0.00249927,0.000000,0.000000
1671352868.13639855,0.00474581,0.00017837,0.00000275,12689.00000000,0.00214117,0.000000,0.000000
